"studentId","firstName","lastName","DOB","class","score"
"1","fbhzetsm","okcylzu","2003-09-20","Class4","68"
"2","rtfddnbf","joe","2008-06-05","Class3","65"
"3","qnwbh","gsys","2009-04-28","Class5","73"
"4","kuwmj","iewvss","2004-09-15","Class2","68"
"5","wzevyqcc","qbexg","2000-11-02","Class5","72"
"6","nuar","veit","2006-03-27","Class3","76"
"7","yxmmyj","safy","2007-04-03","Class1","66"
"8","zbu","rte","2007-09-20","Class2","81"
"9","iibyehn","wkdw","2007-12-12","Class5","77"
"10","gvoygqp","xmgv","2002-09-06","Class3","74"
"11","kxbewp","wtjgqqx","2009-01-19","Class4","68"
"12","uwyfi","xiqvcsy","2007-10-19","Class5","71"
"13","wxsjc","opl","2002-05-04","Class3","85"
"14","lbkciz","crzm","2004-02-01","Class4","84"
"15","tvopl","lwz","2008-01-31","Class3","75"
"16","ngow","ndftest","2005-02-03","Class3","84"
"17","jmlrbhbf","nfuppyid","2000-06-24","Class5","74"
"18","nyjyre","buqke","2007-11-16","Class5","65"
"19","fsw","rnfdrghc","2010-04-13","Class1","80"
"20","jwcae","qikvasuf","2004-08-02","Class4","67"
"21","bxrlai","zsvetejh","2007-03-21","Class3","76"
"22","qvxdcxr","dscxpvnm","2008-04-02","Class3","84"
"23","rwlogmza","knwbli","2003-08-24","Class4","82"
"24","haihvog","fzyphvk","2004-08-08","Class3","76"
"25","qkwsru","kes","2002-09-27","Class3","65"
"26","yvhnpwv","rcm","2010-07-29","Class4","80"
"27","allu","jvgx","2006-08-03","Class4","81"
"28","jvmcasi","tbqgd","2006-11-10","Class1","67"
"29","fadxnjwc","dtzm","2002-01-22","Class1","77"
"30","ybxon","yanugyu","2000-05-18","Class3","70"
"31","uewj","fzfd","2008-02-05","Class2","73"
"32","ruedf","kwgcmasu","2000-07-01","Class5","85"
"33","kfifv","iugrj","2007-01-18","Class1","69"
"34","ury","pnm","2003-08-23","Class1","75"
"35","mfxjf","tzmf","2004-08-14","Class3","70"
"36","eqlnrujc","qypwln","2005-02-03","Class1","76"
"37","ysjixtkw","mfun","2010-03-23","Class1","69"
"38","xtlrgwk","rmc","2002-08-10","Class3","67"
"39","cxgmgpw","xppdv","2002-10-17","Class4","76"
"40","vkt","plizsv","2004-05-31","Class2","85"
"41","udmtnh","yiwutcjh","2000-02-26","Class4","82"
"42","yesj","ghumwf","2005-08-24","Class1","65"
"43","zzf","yht","2010-06-22","Class3","77"
"44","mcl","vzm","2008-12-27","Class3","82"
"45","yvk","wwk","2007-10-13","Class4","80"
"46","desrlqw","sqk","2003-11-12","Class5","68"
"47","unu","nqdxnwf","2004-01-14","Class3","79"
"48","grnixyvd","yknaazwk","2008-11-20","Class3","80"
"49","edxx","wjx","2000-03-03","Class5","79"
"50","jkv","qla","2010-08-08","Class1","77"
"51","qzig","cizdgmq","2002-07-25","Class4","76"
"52","fpecq","bet","2007-03-16","Class4","72"
"53","znjw","vlehp","2008-01-02","Class5","67"
"54","mpobr","brp","2003-09-21","Class3","68"
"55","uyygrc","ouaupsei","2002-12-23","Class3","83"
"56","nujr","tjyp","2004-08-11","Class1","74"
"57","ofk","sjnez","2003-03-13","Class4","75"
"58","hxbnvlci","yzvvbgv","2001-10-21","Class1","79"
"59","dlrzcnk","aaa","2001-01-31","Class3","81"
"60","qpynva","tigrjty","2005-04-06","Class5","84"
"61","pjakqrm","sro","2009-05-05","Class4","79"
"62","zbqdthcq","qmrint","2006-04-27","Class5","76"
"63","ropwnrz","rlprejb","2004-11-07","Class2","70"
"64","xwovkit","aiaohbt","2010-03-08","Class5","72"
"65","xfr","efvfvlis","2003-09-13","Class3","78"
"66","xdj","sphmnkxq","2002-03-17","Class3","77"
"67","ijqzuvb","mhwzbfcp","2004-02-08","Class2","66"
"68","usynsqcq","pjmyjusg","2002-07-23","Class1","71"
"69","kynckww","oexag","2005-07-05","Class1","77"
"70","knojsumy","gfervy","2006-08-20","Class4","71"
"71","aohmzo","bume","2001-09-09","Class5","70"
"72","smn","omwgc","2001-04-09","Class2","66"
"73","egkrwz","wurvwcq","2009-05-26","Class5","69"
"74","vqjp","yes","2002-08-21","Class3","71"
"75","qqgojr","ctfp","2003-10-03","Class2","83"
"76","vsmfuu","txtg","2009-01-14","Class2","70"
"77","crdn","bdibqgwz","2005-05-10","Class3","75"
"78","eszg","oyqqa","2003-04-28","Class4","73"
"79","kdatz","gzshmvo","2008-11-18","Class1","82"
"80","ywtjst","fzoff","2004-10-02","Class1","67"
"81","pnqes","xfj","2009-06-17","Class4","69"
"82","tco","ioxulejy","2000-05-27","Class4","77"
"83","vlqwmapf","lzv","2010-07-28","Class2","80"
"84","yncr","opqawca","2002-01-11","Class3","83"
"85","lbkvuskr","oqif","2006-01-18","Class4","67"
"86","ojtcx","gnfecoua","2006-03-25","Class3","72"
"87","bfswhoe","pqmcw","2008-06-02","Class2","68"
"88","kdh","pubmrj","2008-03-15","Class3","75"
"89","ifccu","mak","2007-04-16","Class2","68"
"90","hgehsvhb","crcua","2010-10-08","Class5","66"
"91","gefcldft","eaw","2009-06-03","Class5","71"
"92","qwsq","qjrby","2005-12-21","Class5","85"
"93","augi","hzgcuhsw","2001-10-02","Class2","75"
"94","qftatd","vlfhslap","2005-05-06","Class1","76"
"95","baohgoho","wjzosupk","2001-05-23","Class2","74"
"96","sjzzqtdw","mmdcuxg","2001-07-31","Class3","80"
"97","xjefvzqs","bil","2008-08-19","Class2","75"
